b'10;0;0;0;0;0;0\r\n'
b'20;0;0;0;0;0;0\r\n'
b'30;0;0;0;0;0;0\r\n'
b'40;0;0;0;0;0;0\r\n'
b'50;4;11;0;1;8;0\r\n'
b'60;138;139;18;18;314;0\r\n'
b'70;247;228;32;30;862;0\r\n'
b'80;190;187;25;24;1283;1\r\n'
b'90;34;22;4;2;1358;1\r\n'
b'100;194;198;25;26;1788;1\r\n'
b'110;246;234;32;31;2334;2\r\n'
b'120;99;144;13;19;2553;2\r\n'
b'130;2;87;0;11;2557;2\r\n'
b'140;0;43;0;5;2557;2\r\n'
b'150;0;6;0;0;2557;2\r\n'
b'160;0;0;0;0;2557;2\r\n'
b'170;0;0;0;0;2557;2\r\n'
b'180;0;0;0;0;2557;2\r\n'
b'2762;0;0;0;0;2557;2\r\n'
b'2772;0;0;0;0;2557;2\r\n'
b'2782;0;0;0;0;2557;2\r\n'
b'2792;0;0;0;0;2557;2\r\n'
b'10;0;0;0;0;0;0\r\n'
b'20;0;0;0;0;0;0\r\n'
b'30;0;0;0;0;0;0\r\n'
b'40;0;0;0;0;0;0\r\n'
b'50;0;0;0;0;0;0\r\n'
b'60;0;0;0;0;0;0\r\n'
b'70;0;0;0;0;0;0\r\n'
b'80;0;1;0;0;0;0\r\n'
b'90;0;0;0;0;0;0\r\n'
b'100;0;1;0;0;0;0\r\n'
b'110;0;0;0;0;0;0\r\n'
b'120;0;1;0;0;0;0\r\n'
b'130;0;1;0;0;0;0\r\n'
b'140;0;1;0;0;0;0\r\n'
b'150;0;0;0;0;0;0\r\n'
b'160;0;1;0;0;0;0\r\n'
b'170;0;0;0;0;0;0\r\n'
b'180;0;0;0;0;0;0\r\n'
b'190;24;2;3;0;53;0\r\n'
b'200;33;17;4;2;126;0\r\n'
b'210;29;34;3;4;190;0\r\n'
b'220;29;34;3;4;254;0\r\n'
b'230;30;33;3;4;320;0\r\n'
b'240;29;32;3;4;384;0\r\n'
b'250;25;30;3;3;439;0\r\n'
b'260;24;26;3;3;492;0\r\n'
b'270;24;26;3;3;545;0\r\n'
b'280;24;27;3;3;598;0\r\n'
b'290;23;26;3;3;649;0\r\n'
b'300;25;27;3;3;704;0\r\n'
b'310;24;27;3;3;757;0\r\n'
b'320;24;27;3;3;810;0\r\n'
b'330;23;26;3;3;861;0\r\n'
b'340;24;26;3;3;914;0\r\n'
b'350;24;26;3;3;967;0\r\n'
b'360;23;26;3;3;1018;1\r\n'
b'370;24;27;3;3;1071;1\r\n'
b'380;23;26;3;3;1122;1\r\n'
